"X(um)","Z(um)"
"0.000 ","-626.157 "
"23.467 ","-626.359 "
"46.933 ","-626.912 "
"70.400 ","-627.714 "
"93.867 ","-628.570 "
"117.334 ","-629.027 "
"140.800 ","-628.682 "
"164.267 ","-627.734 "
"187.734 ","-626.883 "
"211.201 ","-626.830 "
"234.667 ","-627.229 "
"258.134 ","-627.732 "
"281.601 ","-628.338 "
"305.068 ","-629.043 "
"328.534 ","-629.593 "
"352.001 ","-629.238 "
"375.468 ","-628.282 "
"398.935 ","-627.322 "
"422.401 ","-626.807 "
"445.868 ","-626.558 "
"469.335 ","-626.187 "
"492.802 ","-625.934 "
"516.268 ","-626.259 "
"539.735 ","-627.193 "
"563.202 ","-628.144 "
"586.669 ","-628.444 "
"610.135 ","-628.209 "
"633.602 ","-627.782 "
"657.069 ","-627.420 "
"680.536 ","-627.177 "
"704.002 ","-627.206 "
"727.469 ","-627.473 "
"750.936 ","-627.950 "
"774.403 ","-628.419 "
"797.869 ","-628.843 "
"821.336 ","-629.447 "
"844.803 ","-630.065 "
"868.270 ","-630.267 "
"891.736 ","-629.605 "
"915.203 ","-628.478 "
"938.670 ","-627.100 "
"962.136 ","-625.841 "
"985.603 ","-625.155 "
"1009.070 ","-625.335 "
"1032.537 ","-625.884 "
"1056.003 ","-626.031 "
"1079.470 ","-626.116 "
"1102.937 ","-626.592 "
"1126.404 ","-627.030 "
"1149.870 ","-627.044 "
"1173.337 ","-626.893 "
"1196.804 ","-627.172 "
"1220.271 ","-627.564 "
"1243.737 ","-627.831 "
"1267.204 ","-627.994 "
"1290.671 ","-627.578 "
"1314.138 ","-626.487 "
"1337.604 ","-624.970 "
"1361.071 ","-623.962 "
"1384.538 ","-624.323 "
"1408.005 ","-625.814 "
"1431.471 ","-627.912 "
"1454.938 ","-629.806 "
"1478.405 ","-630.749 "
"1501.872 ","-630.282 "
"1525.338 ","-628.490 "
"1548.805 ","-626.417 "
"1572.272 ","-624.999 "
"1595.739 ","-624.478 "
"1619.205 ","-624.713 "
"1642.672 ","-625.737 "
"1666.139 ","-627.020 "
"1689.606 ","-627.852 "
"1713.072 ","-628.007 "
"1736.539 ","-627.569 "
"1760.006 ","-626.615 "
"1783.473 ","-625.658 "
"1806.939 ","-625.414 "
"1830.406 ","-626.002 "
"1853.873 ","-627.223 "
"1877.339 ","-628.729 "
"1900.806 ","-629.980 "
"1924.273 ","-630.424 "
"1947.740 ","-630.125 "
"1971.206 ","-629.690 "
"1994.673 ","-629.689 "
"2018.140 ","-629.882 "
"2041.607 ","-629.480 "
"2065.073 ","-627.935 "
"2088.540 ","-625.765 "
"2112.007 ","-624.341 "
"2135.474 ","-623.891 "
"2158.940 ","-624.410 "
"2182.407 ","-625.418 "
"2205.874 ","-626.301 "
"2229.341 ","-626.897 "
"2252.807 ","-627.156 "
"2276.274 ","-627.495 "
"2299.741 ","-627.630 "
"2323.208 ","-627.259 "
"2346.674 ","-626.559 "
"2370.141 ","-625.941 "
"2393.608 ","-625.960 "
"2417.075 ","-626.645 "
"2440.541 ","-627.245 "
"2464.008 ","-626.933 "
"2487.475 ","-625.717 "
"2510.942 ","-624.611 "
"2534.408 ","-624.815 "
"2557.875 ","-626.343 "
"2581.342 ","-628.139 "
"2604.809 ","-629.151 "
"2628.275 ","-629.114 "
"2651.742 ","-628.578 "
"2675.209 ","-627.974 "
"2698.675 ","-627.752 "
"2722.142 ","-627.813 "
"2745.609 ","-628.138 "
"2769.076 ","-628.777 "
"2792.542 ","-629.621 "
"2816.009 ","-630.679 "
"2839.476 ","-631.577 "
"2862.943 ","-631.684 "
"2886.409 ","-630.583 "
"2909.876 ","-628.756 "
"2933.343 ","-627.317 "
"2956.810 ","-626.593 "
"2980.276 ","-626.306 "
"3003.743 ","-626.180 "
"3027.210 ","-626.041 "
"3050.677 ","-625.919 "
"3074.143 ","-625.927 "
"3097.610 ","-626.037 "
"3121.077 ","-625.690 "
"3144.544 ","-624.915 "
"3168.010 ","-624.230 "
"3191.477 ","-624.049 "
"3214.944 ","-624.389 "
"3238.411 ","-624.831 "
"3261.877 ","-625.350 "
"3285.344 ","-625.632 "
"3308.811 ","-625.296 "
"3332.278 ","-624.679 "
"3355.744 ","-624.979 "
"3379.211 ","-626.564 "
"3402.678 ","-628.311 "
"3426.145 ","-628.892 "
"3449.611 ","-628.358 "
"3473.078 ","-627.947 "
"3496.545 ","-627.682 "
"3520.012 ","-627.280 "
"3543.478 ","-626.597 "
"3566.945 ","-625.911 "
"3590.412 ","-625.584 "
"3613.878 ","-625.714 "
"3637.345 ","-626.248 "
"3660.812 ","-626.801 "
"3684.279 ","-626.623 "
"3707.745 ","-625.496 "
"3731.212 ","-623.963 "
"3754.679 ","-623.461 "
"3778.146 ","-624.598 "
"3801.612 ","-626.436 "
"3825.079 ","-628.030 "
"3848.546 ","-628.280 "
"3872.013 ","-627.130 "
"3895.479 ","-625.331 "
"3918.946 ","-623.879 "
"3942.413 ","-623.370 "
"3965.880 ","-623.558 "
"3989.346 ","-623.901 "
"4012.813 ","-623.860 "
"4036.280 ","-623.380 "
"4059.747 ","-623.080 "
"4083.213 ","-623.338 "
"4106.680 ","-623.738 "
"4130.147 ","-623.972 "
"4153.614 ","-624.234 "
"4177.080 ","-624.804 "
"4200.547 ","-625.522 "
"4224.014 ","-625.834 "
"4247.481 ","-625.147 "
"4270.947 ","-623.574 "
"4294.414 ","-622.311 "
"4317.881 ","-622.207 "
"4341.348 ","-623.175 "
"4364.814 ","-624.101 "
"4388.281 ","-624.237 "
"4411.748 ","-623.953 "
"4435.215 ","-623.951 "
"4458.681 ","-624.504 "
"4482.148 ","-624.787 "
"4505.615 ","-624.620 "
"4529.081 ","-624.635 "
"4552.548 ","-624.810 "
"4576.015 ","-624.609 "
"4599.482 ","-623.726 "
"4622.948 ","-622.626 "
"4646.415 ","-622.080 "
"4669.882 ","-622.712 "
"4693.349 ","-624.334 "
"4716.815 ","-625.866 "
"4740.282 ","-626.590 "
"4763.749 ","-626.418 "
"4787.216 ","-625.846 "
"4810.682 ","-625.288 "
"4834.149 ","-625.101 "
"4857.616 ","-625.454 "
"4881.083 ","-625.699 "
"4904.549 ","-625.512 "
"4928.016 ","-625.174 "
"4951.483 ","-625.174 "
"4974.950 ","-625.491 "
"4998.416 ","-625.848 "
"5021.883 ","-625.944 "
"5045.350 ","-625.580 "
"5068.817 ","-624.879 "
"5092.283 ","-624.140 "
"5115.750 ","-623.749 "
"5139.217 ","-623.729 "
"5162.684 ","-624.100 "
"5186.150 ","-624.498 "
"5209.617 ","-624.561 "
"5233.084 ","-624.325 "
"5256.551 ","-624.022 "
"5280.017 ","-623.914 "
"5303.484 ","-624.050 "
"5326.951 ","-624.357 "
"5350.418 ","-624.656 "
"5373.884 ","-624.980 "
"5397.351 ","-625.236 "
"5420.818 ","-625.453 "
"5444.284 ","-625.549 "
"5467.751 ","-625.525 "
"5491.218 ","-625.651 "
"5514.685 ","-626.123 "
"5538.151 ","-626.798 "
"5561.618 ","-627.204 "
"5585.085 ","-627.285 "
"5608.552 ","-627.417 "
"5632.018 ","-627.270 "
"5655.485 ","-626.625 "
"5678.952 ","-625.634 "
"5702.419 ","-624.643 "
"5725.885 ","-624.222 "
"5749.352 ","-624.498 "
"5772.819 ","-625.247 "
"5796.286 ","-625.771 "
"5819.752 ","-625.515 "
"5843.219 ","-624.853 "
"5866.686 ","-624.169 "
"5890.153 ","-623.646 "
"5913.619 ","-623.615 "
"5937.086 ","-624.296 "
"5960.553 ","-625.665 "
"5984.020 ","-627.120 "
"6007.486 ","-627.936 "
"6030.953 ","-627.960 "
"6054.420 ","-627.269 "
"6077.887 ","-626.135 "
"6101.353 ","-625.009 "
"6124.820 ","-624.492 "
"6148.287 ","-624.638 "
"6171.754 ","-624.665 "
"6195.220 ","-624.308 "
"6218.687 ","-623.685 "
"6242.154 ","-623.347 "
"6265.620 ","-623.930 "
"6289.087 ","-625.281 "
"6312.554 ","-626.698 "
"6336.021 ","-627.162 "
"6359.487 ","-626.435 "
"6382.954 ","-625.158 "
"6406.421 ","-624.368 "
"6429.888 ","-624.592 "
"6453.354 ","-625.793 "
"6476.821 ","-627.313 "
"6500.288 ","-628.224 "
"6523.755 ","-628.286 "
"6547.221 ","-627.506 "
"6570.688 ","-626.518 "
"6594.155 ","-625.790 "
"6617.622 ","-625.659 "
"6641.088 ","-626.301 "
"6664.555 ","-626.938 "
"6688.022 ","-626.152 "
"6711.489 ","-623.891 "
"6734.955 ","-621.692 "
"6758.422 ","-621.140 "
"6781.889 ","-622.207 "
"6805.356 ","-623.774 "
"6828.822 ","-624.676 "
"6852.289 ","-624.860 "
"6875.756 ","-625.047 "
"6899.223 ","-625.319 "
"6922.689 ","-625.246 "
"6946.156 ","-624.612 "
"6969.623 ","-623.887 "
