"X(um)","Z(um)"
"0.000 ","-310.165 "
"23.473 ","-307.490 "
"46.946 ","-304.296 "
"70.419 ","-302.456 "
"93.893 ","-302.390 "
"117.366 ","-305.223 "
"140.839 ","-310.090 "
"164.312 ","-315.835 "
"187.785 ","-321.530 "
"211.258 ","-325.473 "
"234.731 ","-327.024 "
"258.205 ","-326.402 "
"281.678 ","-324.849 "
"305.151 ","-323.954 "
"328.624 ","-322.368 "
"352.097 ","-321.437 "
"375.570 ","-322.278 "
"399.043 ","-325.318 "
"422.517 ","-331.703 "
"445.990 ","-340.302 "
"469.463 ","-349.287 "
"492.936 ","-357.224 "
"516.409 ","-358.246 "
"539.882 ","-352.527 "
"563.355 ","-340.935 "
"586.829 ","-326.000 "
"610.302 ","-311.957 "
"633.775 ","-301.897 "
"657.248 ","-298.947 "
"680.721 ","-304.144 "
"704.194 ","-313.081 "
"727.667 ","-323.727 "
"751.141 ","-333.038 "
"774.614 ","-339.692 "
"798.087 ","-344.827 "
"821.560 ","-349.110 "
"845.033 ","-353.564 "
"868.506 ","-358.651 "
"891.979 ","-363.480 "
"915.452 ","-366.518 "
"938.926 ","-367.472 "
"962.399 ","-366.033 "
"985.872 ","-358.179 "
"1009.345 ","-348.225 "
"1032.818 ","-334.493 "
"1056.291 ","-322.677 "
"1079.764 ","-312.807 "
"1103.238 ","-308.029 "
"1126.711 ","-307.122 "
"1150.184 ","-307.904 "
"1173.657 ","-311.938 "
"1197.130 ","-319.463 "
"1220.603 ","-329.027 "
"1244.076 ","-339.463 "
"1267.550 ","-350.143 "
"1291.023 ","-358.709 "
"1314.496 ","-366.478 "
"1337.969 ","-368.875 "
"1361.442 ","-368.394 "
"1384.915 ","-366.158 "
"1408.388 ","-363.202 "
"1431.862 ","-359.577 "
"1455.335 ","-354.915 "
"1478.808 ","-347.372 "
"1502.281 ","-337.281 "
"1525.754 ","-326.236 "
"1549.227 ","-316.080 "
"1572.700 ","-307.994 "
"1596.174 ","-303.639 "
"1619.647 ","-303.475 "
"1643.120 ","-306.316 "
"1666.593 ","-310.136 "
"1690.066 ","-314.248 "
"1713.539 ","-318.486 "
"1737.012 ","-323.459 "
"1760.486 ","-328.471 "
"1783.959 ","-333.299 "
"1807.432 ","-336.862 "
"1830.905 ","-337.899 "
"1854.378 ","-335.335 "
"1877.851 ","-329.458 "
"1901.324 ","-322.887 "
"1924.798 ","-318.610 "
"1948.271 ","-319.047 "
"1971.744 ","-324.162 "
"1995.217 ","-331.701 "
"2018.690 ","-339.571 "
"2042.163 ","-344.750 "
"2065.636 ","-344.159 "
"2089.110 ","-338.375 "
"2112.583 ","-330.359 "
"2136.056 ","-323.401 "
"2159.529 ","-319.208 "
"2183.002 ","-318.838 "
"2206.475 ","-322.969 "
"2229.948 ","-331.016 "
"2253.422 ","-340.027 "
"2276.895 ","-347.678 "
"2300.368 ","-354.024 "
"2323.841 ","-358.979 "
"2347.314 ","-362.552 "
"2370.787 ","-364.341 "
"2394.260 ","-364.727 "
"2417.734 ","-361.439 "
"2441.207 ","-355.708 "
"2464.680 ","-349.159 "
"2488.153 ","-343.428 "
"2511.626 ","-339.136 "
"2535.099 ","-336.305 "
"2558.572 ","-333.359 "
"2582.046 ","-329.190 "
"2605.519 ","-325.197 "
"2628.992 ","-321.292 "
"2652.465 ","-319.073 "
"2675.938 ","-319.127 "
"2699.411 ","-323.033 "
"2722.884 ","-332.928 "
"2746.357 ","-346.913 "
"2769.831 ","-361.432 "
"2793.304 ","-372.529 "
"2816.777 ","-376.871 "
"2840.250 ","-374.084 "
"2863.723 ","-363.916 "
"2887.196 ","-348.949 "
"2910.669 ","-334.105 "
"2934.143 ","-322.735 "
"2957.616 ","-316.240 "
"2981.089 ","-314.119 "
"3004.562 ","-315.942 "
"3028.035 ","-319.532 "
"3051.508 ","-321.505 "
"3074.981 ","-321.311 "
"3098.455 ","-319.309 "
"3121.928 ","-316.490 "
"3145.401 ","-314.314 "
"3168.874 ","-311.165 "
"3192.347 ","-308.509 "
"3215.820 ","-306.264 "
"3239.293 ","-306.288 "
"3262.767 ","-308.410 "
"3286.240 ","-313.070 "
"3309.713 ","-320.060 "
"3333.186 ","-328.389 "
"3356.659 ","-334.916 "
"3380.132 ","-337.483 "
"3403.605 ","-336.214 "
"3427.079 ","-332.892 "
"3450.552 ","-329.736 "
"3474.025 ","-328.845 "
"3497.498 ","-330.582 "
"3520.971 ","-334.606 "
"3544.444 ","-339.503 "
"3567.917 ","-342.807 "
"3591.391 ","-343.971 "
"3614.864 ","-343.852 "
"3638.337 ","-343.144 "
"3661.810 ","-340.441 "
"3685.283 ","-335.667 "
"3708.756 ","-329.925 "
"3732.229 ","-324.348 "
"3755.703 ","-320.130 "
"3779.176 ","-318.277 "
"3802.649 ","-319.240 "
"3826.122 ","-323.149 "
"3849.595 ","-329.884 "
"3873.068 ","-336.214 "
"3896.541 ","-339.214 "
"3920.015 ","-337.734 "
"3943.488 ","-331.779 "
"3966.961 ","-323.642 "
"3990.434 ","-315.594 "
"4013.907 ","-309.154 "
"4037.380 ","-306.632 "
"4060.853 ","-307.751 "
"4084.327 ","-310.529 "
"4107.800 ","-313.635 "
"4131.273 ","-315.426 "
"4154.746 ","-315.448 "
"4178.219 ","-314.404 "
"4201.692 ","-313.250 "
"4225.165 ","-312.503 "
"4248.639 ","-311.723 "
"4272.112 ","-311.064 "
"4295.585 ","-310.541 "
"4319.058 ","-309.852 "
"4342.531 ","-308.571 "
"4366.004 ","-306.972 "
"4389.477 ","-306.847 "
"4412.951 ","-310.102 "
"4436.424 ","-316.093 "
"4459.897 ","-324.321 "
"4483.370 ","-332.756 "
"4506.843 ","-340.204 "
"4530.316 ","-345.241 "
"4553.789 ","-344.900 "
"4577.262 ","-339.866 "
"4600.736 ","-331.682 "
"4624.209 ","-321.698 "
"4647.682 ","-312.976 "
"4671.155 ","-307.929 "
"4694.628 ","-303.719 "
"4718.101 ","-300.603 "
"4741.574 ","-302.789 "
"4765.048 ","-308.780 "
"4788.521 ","-318.111 "
"4811.994 ","-328.443 "
"4835.467 ","-335.545 "
"4858.940 ","-337.786 "
"4882.413 ","-335.475 "
"4905.886 ","-330.492 "
"4929.360 ","-324.065 "
"4952.833 ","-317.875 "
"4976.306 ","-314.685 "
"4999.779 ","-315.466 "
"5023.252 ","-320.922 "
"5046.725 ","-325.172 "
"5070.198 ","-327.443 "
"5093.672 ","-327.865 "
"5117.145 ","-326.646 "
"5140.618 ","-323.838 "
"5164.091 ","-321.262 "
"5187.564 ","-319.129 "
"5211.037 ","-318.875 "
"5234.510 ","-319.232 "
"5257.984 ","-319.141 "
"5281.457 ","-318.430 "
"5304.930 ","-317.962 "
"5328.403 ","-320.317 "
"5351.876 ","-324.835 "
"5375.349 ","-331.240 "
"5398.822 ","-338.383 "
"5422.296 ","-346.028 "
"5445.769 ","-352.217 "
"5469.242 ","-355.298 "
"5492.715 ","-354.160 "
"5516.188 ","-349.920 "
"5539.661 ","-343.848 "
"5563.134 ","-336.317 "
"5586.608 ","-326.455 "
"5610.081 ","-317.385 "
"5633.554 ","-313.276 "
"5657.027 ","-312.739 "
"5680.500 ","-316.031 "
"5703.973 ","-320.734 "
"5727.446 ","-324.823 "
"5750.920 ","-327.098 "
"5774.393 ","-325.216 "
"5797.866 ","-319.892 "
"5821.339 ","-316.365 "
"5844.812 ","-316.885 "
"5868.285 ","-321.378 "
"5891.758 ","-328.047 "
"5915.232 ","-332.984 "
"5938.705 ","-333.402 "
"5962.178 ","-329.808 "
"5985.651 ","-323.845 "
"6009.124 ","-319.493 "
"6032.597 ","-319.725 "
"6056.070 ","-325.805 "
"6079.544 ","-337.247 "
"6103.017 ","-349.549 "
"6126.490 ","-359.484 "
"6149.963 ","-364.359 "
"6173.436 ","-362.613 "
"6196.909 ","-355.622 "
"6220.382 ","-345.089 "
"6243.856 ","-332.036 "
"6267.329 ","-319.969 "
"6290.802 ","-310.200 "
"6314.275 ","-305.446 "
"6337.748 ","-306.025 "
"6361.221 ","-308.950 "
"6384.694 ","-313.361 "
"6408.167 ","-317.425 "
"6431.641 ","-321.002 "
"6455.114 ","-324.449 "
"6478.587 ","-327.674 "
"6502.060 ","-331.383 "
"6525.533 ","-337.776 "
"6549.006 ","-345.712 "
"6572.479 ","-355.687 "
"6595.953 ","-365.247 "
"6619.426 ","-372.911 "
"6642.899 ","-376.989 "
"6666.372 ","-377.225 "
"6689.845 ","-374.197 "
"6713.318 ","-369.596 "
"6736.791 ","-363.446 "
"6760.265 ","-357.878 "
"6783.738 ","-353.128 "
"6807.211 ","-347.294 "
"6830.684 ","-340.401 "
"6854.157 ","-332.347 "
"6877.630 ","-323.110 "
"6901.103 ","-314.218 "
"6924.577 ","-305.960 "
"6948.050 ","-299.861 "
"6971.523 ","-298.674 "
"6994.996 ","-300.660 "
"7018.469 ","-303.756 "
"7041.942 ","-305.630 "
"7065.415 ","-306.234 "
"7088.889 ","-305.525 "
"7112.362 ","-302.668 "
"7135.835 ","-297.289 "
"7159.308 ","-294.644 "
"7182.781 ","-289.917 "
"7206.254 ","-283.666 "
"7229.727 ","-276.260 "
"7253.201 ","-267.725 "
"7276.674 ","-261.202 "
"7300.147 ","-260.788 "
"7323.620 ","-264.027 "
"7347.093 ","-272.777 "
"7370.566 ","-283.491 "
"7394.039 ","-294.577 "
"7417.513 ","-305.686 "
"7440.986 ","-315.937 "
"7464.459 ","-326.385 "
"7487.932 ","-335.585 "
"7511.405 ","-341.740 "
"7534.878 ","-346.216 "
"7558.351 ","-351.368 "
"7581.825 ","-358.502 "
"7605.298 ","-366.851 "
"7628.771 ","-375.365 "
"7652.244 ","-382.818 "
"7675.717 ","-384.268 "
"7699.190 ","-379.358 "
"7722.663 ","-367.995 "
"7746.137 ","-352.975 "
"7769.610 ","-335.599 "
"7793.083 ","-320.411 "
"7816.556 ","-309.425 "
"7840.029 ","-305.130 "
"7863.502 ","-304.693 "
"7886.975 ","-306.120 "
"7910.449 ","-306.901 "
"7933.922 ","-306.879 "
"7957.395 ","-307.008 "
"7980.868 ","-306.377 "
"8004.341 ","-303.730 "
"8027.814 ","-299.820 "
"8051.287 ","-295.203 "
"8074.761 ","-290.183 "
"8098.234 ","-287.506 "
"8121.707 ","-288.263 "
"8145.180 ","-291.257 "
"8168.653 ","-294.244 "
"8192.126 ","-295.872 "
"8215.599 ","-296.460 "
"8239.072 ","-296.781 "
"8262.546 ","-297.276 "
"8286.019 ","-298.675 "
"8309.492 ","-301.885 "
"8332.965 ","-307.131 "
"8356.438 ","-313.902 "
"8379.911 ","-320.730 "
"8403.384 ","-326.976 "
"8426.858 ","-332.050 "
"8450.331 ","-336.075 "
"8473.804 ","-338.579 "
"8497.277 ","-337.459 "
"8520.750 ","-333.315 "
"8544.223 ","-328.370 "
"8567.696 ","-323.394 "
"8591.170 ","-318.738 "
"8614.643 ","-315.373 "
"8638.116 ","-314.417 "
"8661.589 ","-317.281 "
"8685.062 ","-321.235 "
"8708.535 ","-322.452 "
"8732.008 ","-321.676 "
"8755.482 ","-318.968 "
"8778.955 ","-315.076 "
"8802.428 ","-313.838 "
