"X(um)","Z(um)"
"0.000 ","16.411 "
"23.469 ","16.269 "
"46.937 ","16.232 "
"70.406 ","16.226 "
"93.875 ","16.127 "
"117.343 ","15.842 "
"140.812 ","15.423 "
"164.281 ","15.079 "
"187.749 ","14.831 "
"211.218 ","14.828 "
"234.687 ","15.400 "
"258.156 ","16.166 "
"281.624 ","16.705 "
"305.093 ","16.796 "
"328.562 ","16.382 "
"352.030 ","15.657 "
"375.499 ","14.741 "
"398.968 ","13.875 "
"422.436 ","13.456 "
"445.905 ","13.573 "
"469.374 ","13.713 "
"492.842 ","13.657 "
"516.311 ","13.731 "
"539.780 ","13.815 "
"563.248 ","14.135 "
"586.717 ","14.440 "
"610.186 ","14.910 "
"633.654 ","15.414 "
"657.123 ","15.672 "
"680.592 ","15.648 "
"704.060 ","15.278 "
"727.529 ","14.906 "
"750.998 ","14.522 "
"774.467 ","14.483 "
"797.935 ","14.465 "
"821.404 ","14.559 "
"844.873 ","14.514 "
"868.341 ","14.424 "
"891.810 ","14.105 "
"915.279 ","14.257 "
"938.747 ","14.648 "
"962.216 ","14.812 "
"985.685 ","14.391 "
"1009.153 ","14.107 "
"1032.622 ","13.850 "
"1056.091 ","13.392 "
"1079.559 ","12.780 "
"1103.028 ","12.516 "
"1126.497 ","12.862 "
"1149.965 ","13.742 "
"1173.434 ","14.511 "
"1196.903 ","15.102 "
"1220.371 ","15.623 "
"1243.840 ","15.820 "
"1267.309 ","15.415 "
"1290.778 ","14.656 "
"1314.246 ","13.919 "
"1337.715 ","13.471 "
"1361.184 ","13.225 "
"1384.652 ","13.196 "
"1408.121 ","13.418 "
"1431.590 ","13.736 "
"1455.058 ","13.886 "
"1478.527 ","13.735 "
"1501.996 ","13.440 "
"1525.464 ","13.353 "
"1548.933 ","13.264 "
"1572.402 ","13.325 "
"1595.870 ","13.713 "
"1619.339 ","14.447 "
"1642.808 ","15.219 "
"1666.276 ","15.971 "
"1689.745 ","16.334 "
"1713.214 ","16.415 "
"1736.682 ","16.007 "
"1760.151 ","15.157 "
"1783.620 ","14.137 "
"1807.089 ","13.539 "
"1830.557 ","13.314 "
"1854.026 ","13.462 "
"1877.495 ","13.590 "
"1900.963 ","13.518 "
"1924.432 ","13.343 "
"1947.901 ","13.346 "
"1971.369 ","13.549 "
"1994.838 ","14.152 "
"2018.307 ","14.665 "
"2041.775 ","14.837 "
"2065.244 ","14.513 "
"2088.713 ","13.922 "
"2112.181 ","12.785 "
"2135.650 ","12.132 "
"2159.119 ","11.723 "
"2182.587 ","12.157 "
"2206.056 ","12.681 "
"2229.525 ","13.284 "
"2252.993 ","13.399 "
"2276.462 ","13.383 "
"2299.931 ","13.074 "
"2323.400 ","12.873 "
"2346.868 ","12.844 "
"2370.337 ","13.093 "
"2393.806 ","13.414 "
"2417.274 ","13.828 "
"2440.743 ","14.082 "
"2464.212 ","14.093 "
"2487.680 ","14.044 "
"2511.149 ","14.225 "
"2534.618 ","14.306 "
"2558.086 ","14.356 "
"2581.555 ","14.389 "
"2605.024 ","14.513 "
"2628.492 ","14.712 "
"2651.961 ","14.969 "
"2675.430 ","15.219 "
"2698.898 ","15.476 "
"2722.367 ","15.623 "
"2745.836 ","15.607 "
"2769.304 ","15.385 "
"2792.773 ","14.995 "
"2816.242 ","14.618 "
"2839.711 ","14.283 "
"2863.179 ","14.158 "
"2886.648 ","14.260 "
"2910.117 ","14.442 "
"2933.585 ","14.862 "
"2957.054 ","15.363 "
"2980.523 ","15.810 "
"3003.991 ","16.063 "
"3027.460 ","16.031 "
"3050.929 ","15.528 "
"3074.397 ","14.846 "
"3097.866 ","13.943 "
"3121.335 ","13.062 "
"3144.803 ","12.355 "
"3168.272 ","12.281 "
"3191.741 ","12.859 "
"3215.209 ","13.467 "
"3238.678 ","13.827 "
"3262.147 ","14.040 "
"3285.615 ","14.195 "
"3309.084 ","14.217 "
"3332.553 ","14.093 "
"3356.022 ","13.957 "
"3379.490 ","14.259 "
"3402.959 ","14.614 "
"3426.428 ","14.922 "
"3449.896 ","14.980 "
"3473.365 ","14.831 "
"3496.834 ","14.652 "
"3520.302 ","14.210 "
"3543.771 ","13.773 "
"3567.240 ","13.161 "
"3590.708 ","12.772 "
"3614.177 ","12.875 "
"3637.646 ","13.242 "
"3661.114 ","13.552 "
"3684.583 ","13.829 "
"3708.052 ","13.995 "
"3731.520 ","14.083 "
"3754.989 ","14.154 "
"3778.458 ","14.430 "
"3801.927 ","14.713 "
"3825.395 ","14.951 "
"3848.864 ","15.147 "
"3872.333 ","15.258 "
"3895.801 ","15.305 "
"3919.270 ","15.223 "
"3942.739 ","15.179 "
"3966.207 ","15.113 "
"3989.676 ","15.090 "
"4013.145 ","14.968 "
"4036.613 ","14.718 "
"4060.082 ","14.229 "
"4083.551 ","13.517 "
"4107.019 ","12.741 "
"4130.488 ","12.191 "
"4153.957 ","12.123 "
"4177.425 ","12.436 "
"4200.894 ","13.024 "
"4224.363 ","13.499 "
"4247.831 ","13.670 "
"4271.300 ","13.540 "
"4294.769 ","13.027 "
"4318.238 ","12.409 "
"4341.706 ","12.127 "
"4365.175 ","12.135 "
"4388.644 ","12.212 "
"4412.112 ","12.357 "
"4435.581 ","12.555 "
"4459.050 ","12.764 "
"4482.518 ","12.769 "
"4505.987 ","12.724 "
"4529.456 ","12.717 "
"4552.924 ","12.944 "
"4576.393 ","13.389 "
"4599.862 ","13.852 "
"4623.330 ","14.240 "
"4646.799 ","14.540 "
"4670.268 ","14.608 "
"4693.736 ","14.526 "
"4717.205 ","14.189 "
"4740.674 ","14.127 "
"4764.142 ","14.388 "
"4787.611 ","14.703 "
"4811.080 ","14.861 "
"4834.549 ","14.903 "
"4858.017 ","14.856 "
"4881.486 ","14.744 "
"4904.955 ","14.760 "
"4928.423 ","14.801 "
"4951.892 ","14.685 "
"4975.361 ","14.549 "
"4998.829 ","14.224 "
"5022.298 ","13.906 "
"5045.767 ","13.511 "
"5069.235 ","13.131 "
"5092.704 ","12.922 "
"5116.173 ","12.959 "
"5139.641 ","13.112 "
