"X(um)","Z(um)"
"0.000 ",""
"23.470 ",""
"46.941 ",""
"70.411 ",""
"93.881 ",""
"117.352 ",""
"140.822 ",""
"164.293 ",""
"187.763 ",""
"211.233 ",""
"234.704 ",""
"258.174 ",""
"281.644 ","-1.141 "
"305.115 ",""
"328.585 ",""
"352.055 ",""
"375.526 ","9.325 "
"398.996 ",""
"422.466 ",""
"445.937 ","15.089 "
"469.407 ",""
"492.878 ",""
"516.348 ",""
"539.818 ","11.982 "
"563.289 ","10.873 "
"586.759 ","10.312 "
"610.229 ","10.643 "
"633.700 ","11.662 "
"657.170 ","12.855 "
"680.640 ","13.840 "
"704.111 ","14.288 "
"727.581 ","14.357 "
"751.051 ","14.997 "
"774.522 ","15.276 "
"797.992 ","13.727 "
"821.463 ","11.953 "
"844.933 ","8.916 "
"868.403 ","13.260 "
"891.874 ",""
"915.344 ",""
"938.814 ",""
"962.285 ","216.641 "
"985.755 ","249.125 "
"1009.225 ","290.560 "
"1032.696 ","313.728 "
"1056.166 ","271.020 "
"1079.637 ","172.117 "
"1103.107 ","118.988 "
"1126.577 ","56.835 "
"1150.048 ","14.706 "
"1173.518 ","7.364 "
"1196.988 ","7.278 "
"1220.459 ","8.124 "
"1243.929 ","8.793 "
"1267.399 ","10.245 "
"1290.870 ","10.432 "
"1314.340 ","10.474 "
"1337.810 ","9.726 "
"1361.281 ","13.085 "
"1384.751 ","22.439 "
"1408.222 ","43.968 "
"1431.692 ","64.734 "
"1455.162 ","45.839 "
"1478.633 ","24.286 "
"1502.103 ","10.428 "
"1525.573 ","-1.966 "
"1549.044 ","-6.043 "
"1572.514 ","-8.517 "
"1595.984 ","-11.404 "
"1619.455 ","-13.814 "
"1642.925 ","-14.717 "
"1666.396 ",""
"1689.866 ",""
"1713.336 ","-3.460 "
"1736.807 ","-3.158 "
"1760.277 ",""
"1783.747 ",""
"1807.218 ","-19.504 "
"1830.688 ",""
"1854.158 ",""
"1877.629 ",""
"1901.099 ",""
"1924.569 ",""
"1948.040 ",""
"1971.510 ",""
"1994.981 ",""
"2018.451 ",""
"2041.921 ",""
"2065.392 ",""
"2088.862 ",""
"2112.332 ",""
"2135.803 ",""
"2159.273 ",""
"2182.743 ",""
"2206.214 ",""
"2229.684 ",""
