"X(um)","Z(um)"
"0.000 ","-311.852 "
"23.469 ","-306.678 "
"46.938 ","-294.028 "
"70.407 ","-282.087 "
"93.876 ","-274.708 "
"117.345 ","-271.220 "
"140.814 ","-271.975 "
"164.282 ","-278.272 "
"187.751 ","-283.070 "
"211.220 ","-278.310 "
"234.689 ","-265.203 "
"258.158 ","-253.864 "
"281.627 ","-254.876 "
"305.096 ","-269.736 "
"328.565 ","-284.521 "
"352.034 ","-281.669 "
"375.503 ","-263.960 "
"398.972 ","-244.680 "
"422.441 ","-235.067 "
"445.910 ","-228.512 "
"469.378 ","-220.029 "
"492.847 ","-213.987 "
"516.316 ","-212.756 "
"539.785 ","-217.916 "
"563.254 ","-229.057 "
"586.723 ","-253.133 "
"610.192 ","-286.256 "
"633.661 ","-310.876 "
"657.130 ","-309.690 "
"680.599 ","-285.526 "
"704.068 ","-261.534 "
"727.537 ","-248.482 "
"751.006 ","-249.644 "
"774.474 ","-258.788 "
"797.943 ","-273.543 "
"821.412 ","-286.423 "
"844.881 ","-288.233 "
"868.350 ","-280.935 "
"891.819 ","-269.721 "
"915.288 ","-268.511 "
"938.757 ","-275.333 "
"962.226 ","-286.942 "
"985.695 ","-289.728 "
"1009.164 ","-281.499 "
"1032.633 ","-271.714 "
"1056.101 ","-265.502 "
"1079.570 ","-264.992 "
"1103.039 ","-261.360 "
"1126.508 ","-254.893 "
"1149.977 ","-247.414 "
"1173.446 ","-251.567 "
"1196.915 ","-278.259 "
"1220.384 ","-322.574 "
"1243.853 ","-361.956 "
"1267.322 ","-363.946 "
"1290.791 ","-340.185 "
"1314.260 ","-305.647 "
"1337.729 ","-290.854 "
"1361.197 ","-294.016 "
"1384.666 ","-302.765 "
"1408.135 ","-307.317 "
"1431.604 ","-301.330 "
"1455.073 ","-294.574 "
"1478.542 ","-289.664 "
"1502.011 ","-287.578 "
"1525.480 ","-284.189 "
"1548.949 ","-281.879 "
"1572.418 ","-282.021 "
"1595.887 ","-285.510 "
"1619.356 ","-286.161 "
"1642.825 ","-280.564 "
"1666.293 ","-276.569 "
"1689.762 ","-286.635 "
"1713.231 ","-309.962 "
"1736.700 ","-334.054 "
"1760.169 ","-341.736 "
"1783.638 ","-336.029 "
"1807.107 ","-324.726 "
"1830.576 ","-318.866 "
"1854.045 ","-312.482 "
"1877.514 ","-298.285 "
"1900.983 ","-271.345 "
"1924.452 ","-241.136 "
"1947.921 ","-220.194 "
"1971.389 ","-209.943 "
"1994.858 ","-215.442 "
"2018.327 ","-227.545 "
"2041.796 ","-251.008 "
"2065.265 ","-272.879 "
"2088.734 ","-298.028 "
"2112.203 ","-317.050 "
"2135.672 ","-337.115 "
"2159.141 ","-351.744 "
"2182.610 ","-358.876 "
"2206.079 ","-339.705 "
"2229.548 ","-304.713 "
"2253.017 ","-262.876 "
"2276.485 ","-234.294 "
"2299.954 ","-223.278 "
"2323.423 ","-225.460 "
"2346.892 ","-236.640 "
"2370.361 ","-255.708 "
"2393.830 ","-292.503 "
"2417.299 ","-332.128 "
"2440.768 ","-357.768 "
"2464.237 ","-358.592 "
"2487.706 ","-342.947 "
"2511.175 ","-321.783 "
"2534.644 ","-297.412 "
"2558.113 ","-275.337 "
"2581.581 ","-251.703 "
"2605.050 ","-234.742 "
"2628.519 ","-228.900 "
"2651.988 ","-232.789 "
"2675.457 ","-239.734 "
"2698.926 ","-243.031 "
"2722.395 ","-245.190 "
"2745.864 ","-247.530 "
"2769.333 ","-250.173 "
"2792.802 ","-253.295 "
"2816.271 ","-265.921 "
"2839.740 ","-294.986 "
"2863.208 ","-334.427 "
"2886.677 ","-347.372 "
"2910.146 ","-329.040 "
"2933.615 ","-291.599 "
"2957.084 ","-264.872 "
"2980.553 ","-246.291 "
"3004.022 ","-232.092 "
"3027.491 ","-225.284 "
"3050.960 ","-236.905 "
"3074.429 ","-264.528 "
"3097.898 ","-294.536 "
"3121.367 ","-288.629 "
"3144.836 ","-262.383 "
"3168.304 ","-236.959 "
"3191.773 ","-235.416 "
"3215.242 ","-241.740 "
"3238.711 ","-242.314 "
"3262.180 ","-241.290 "
"3285.649 ","-238.867 "
"3309.118 ","-238.660 "
"3332.587 ","-237.892 "
"3356.056 ","-238.158 "
"3379.525 ","-240.377 "
"3402.994 ","-248.927 "
"3426.463 ","-259.421 "
"3449.932 ","-273.950 "
"3473.400 ","-284.023 "
"3496.869 ","-289.906 "
"3520.338 ","-283.568 "
"3543.807 ","-279.405 "
"3567.276 ","-286.393 "
"3590.745 ","-313.102 "
"3614.214 ","-328.018 "
"3637.683 ","-322.017 "
"3661.152 ","-298.304 "
"3684.621 ","-279.233 "
"3708.090 ","-260.941 "
"3731.559 ","-241.859 "
"3755.028 ","-229.543 "
"3778.496 ","-231.674 "
"3801.965 ","-250.672 "
"3825.434 ","-273.542 "
"3848.903 ","-290.501 "
"3872.372 ","-286.816 "
"3895.841 ","-270.924 "
"3919.310 ","-259.572 "
"3942.779 ","-250.734 "
"3966.248 ","-240.585 "
"3989.717 ","-221.105 "
"4013.186 ","-209.361 "
"4036.655 ","-206.988 "
"4060.124 ","-220.927 "
"4083.592 ","-241.259 "
"4107.061 ","-255.007 "
"4130.530 ","-244.466 "
"4153.999 ","-224.926 "
"4177.468 ","-212.775 "
"4200.937 ","-223.346 "
"4224.406 ","-239.710 "
"4247.875 ","-247.545 "
"4271.344 ","-247.089 "
"4294.813 ","-240.726 "
"4318.282 ","-239.586 "
"4341.751 ","-237.723 "
"4365.220 ","-237.949 "
"4388.688 ","-246.379 "
"4412.157 ","-258.031 "
"4435.626 ","-264.928 "
"4459.095 ","-259.455 "
"4482.564 ","-252.696 "
"4506.033 ","-256.392 "
"4529.502 ","-262.359 "
"4552.971 ","-263.021 "
"4576.440 ","-257.475 "
"4599.909 ","-249.693 "
"4623.378 ","-246.557 "
"4646.847 ","-245.276 "
"4670.315 ","-244.896 "
"4693.784 ","-236.237 "
"4717.253 ","-222.989 "
"4740.722 ","-213.579 "
"4764.191 ","-222.141 "
"4787.660 ","-229.538 "
"4811.129 ","-236.570 "
"4834.598 ","-233.768 "
"4858.067 ","-235.396 "
"4881.536 ","-234.494 "
"4905.005 ","-225.580 "
"4928.474 ","-217.256 "
"4951.943 ","-217.094 "
"4975.411 ","-233.356 "
"4998.880 ","-248.023 "
"5022.349 ","-250.387 "
"5045.818 ","-240.866 "
"5069.287 ","-230.470 "
"5092.756 ","-227.245 "
"5116.225 ","-233.352 "
"5139.694 ","-236.775 "
"5163.163 ","-235.606 "
"5186.632 ","-226.333 "
"5210.101 ","-227.221 "
"5233.570 ","-237.359 "
"5257.039 ","-248.722 "
"5280.507 ","-250.478 "
"5303.976 ","-241.139 "
"5327.445 ","-230.016 "
"5350.914 ","-224.283 "
"5374.383 ","-222.296 "
"5397.852 ","-225.021 "
"5421.321 ","-231.976 "
"5444.790 ","-238.373 "
"5468.259 ","-238.493 "
"5491.728 ","-227.141 "
"5515.197 ","-215.373 "
"5538.666 ","-207.833 "
"5562.135 ","-207.879 "
"5585.603 ","-223.778 "
"5609.072 ","-245.669 "
"5632.541 ","-268.412 "
"5656.010 ","-271.801 "
"5679.479 ","-270.093 "
"5702.948 ","-267.074 "
"5726.417 ","-270.601 "
"5749.886 ","-268.385 "
"5773.355 ","-257.221 "
"5796.824 ","-239.232 "
"5820.293 ","-227.121 "
"5843.762 ","-226.610 "
"5867.231 ","-233.075 "
"5890.699 ","-242.055 "
"5914.168 ","-241.291 "
"5937.637 ","-234.254 "
"5961.106 ","-225.034 "
"5984.575 ","-223.355 "
"6008.044 ","-223.524 "
"6031.513 ","-220.655 "
"6054.982 ","-215.003 "
"6078.451 ","-213.506 "
"6101.920 ","-227.937 "
"6125.389 ","-250.547 "
"6148.858 ","-263.537 "
"6172.327 ","-257.419 "
"6195.795 ","-241.981 "
"6219.264 ","-228.597 "
"6242.733 ","-216.040 "
"6266.202 ","-204.266 "
"6289.671 ","-197.201 "
"6313.140 ","-197.647 "
"6336.609 ","-206.282 "
"6360.078 ","-220.375 "
