"X(um)","Z(um)"
"0.000 ","-167.069 "
"23.466 ","-167.069 "
"46.933 ","-167.019 "
"70.399 ","-167.020 "
"93.865 ","-167.270 "
"117.332 ","-167.820 "
"140.798 ","-168.319 "
"164.264 ","-168.418 "
"187.730 ","-168.117 "
"211.197 ","-167.668 "
"234.663 ","-167.267 "
"258.129 ","-167.017 "
"281.596 ","-166.966 "
"305.062 ","-167.017 "
"328.528 ","-167.118 "
"351.995 ","-167.370 "
"375.461 ","-167.923 "
"398.927 ","-168.474 "
"422.394 ","-168.626 "
"445.860 ","-168.375 "
"469.326 ","-168.075 "
"492.792 ","-168.126 "
"516.259 ","-168.372 "
"539.725 ","-168.568 "
"563.191 ","-168.413 "
"586.658 ","-167.813 "
"610.124 ","-167.218 "
"633.590 ","-166.975 "
"657.057 ","-167.183 "
"680.523 ","-167.436 "
"703.989 ","-167.434 "
"727.456 ","-167.279 "
"750.922 ","-167.220 "
"774.388 ","-167.514 "
"797.854 ","-168.263 "
"821.321 ","-169.067 "
"844.787 ","-169.223 "
"868.253 ","-168.524 "
"891.720 ","-167.466 "
"915.186 ","-166.912 "
"938.652 ","-167.058 "
"962.119 ","-167.496 "
"985.585 ","-167.687 "
"1009.051 ","-167.586 "
"1032.518 ","-167.535 "
"1055.984 ","-167.589 "
"1079.450 ","-167.597 "
"1102.917 ","-167.461 "
"1126.383 ","-167.330 "
"1149.849 ","-167.235 "
"1173.315 ","-167.080 "
"1196.782 ","-166.735 "
"1220.248 ","-166.396 "
"1243.714 ","-166.402 "
"1267.181 ","-166.747 "
"1290.647 ","-166.892 "
"1314.113 ","-166.487 "
"1337.580 ","-165.826 "
"1361.046 ","-165.614 "
"1384.512 ","-165.908 "
"1407.979 ","-166.414 "
"1431.445 ","-166.870 "
"1454.911 ","-167.064 "
"1478.377 ","-167.007 "
"1501.844 ","-166.664 "
"1525.310 ","-166.320 "
"1548.776 ","-166.250 "
"1572.243 ","-166.429 "
"1595.709 ","-166.779 "
"1619.175 ","-167.206 "
"1642.642 ","-167.591 "
"1666.108 ","-167.742 "
"1689.574 ","-167.327 "
"1713.041 ","-166.620 "
"1736.507 ","-166.170 "
"1759.973 ","-166.312 "
"1783.439 ","-166.739 "
"1806.906 ","-166.999 "
"1830.372 ","-166.924 "
"1853.838 ","-166.439 "
"1877.305 ","-165.871 "
"1900.771 ","-165.695 "
"1924.237 ","-166.045 "
"1947.704 ","-166.577 "
"1971.170 ","-166.868 "
"1994.636 ","-166.676 "
"2018.103 ","-166.043 "
"2041.569 ","-165.370 "
"2065.035 ","-165.156 "
"2088.501 ","-165.425 "
"2111.968 ","-165.566 "
"2135.434 ","-165.317 "
"2158.900 ","-165.146 "
"2182.367 ","-165.185 "
"2205.833 ","-165.536 "
"2229.299 ","-166.139 "
"2252.766 ","-166.730 "
"2276.232 ","-166.990 "
"2299.698 ","-166.590 "
"2323.165 ","-166.010 "
"2346.631 ","-165.641 "
"2370.097 ","-165.701 "
"2393.563 ","-165.981 "
"2417.030 ","-166.049 "
"2440.496 ","-165.888 "
"2463.962 ","-165.598 "
"2487.429 ","-165.320 "
"2510.895 ","-165.192 "
"2534.361 ","-165.354 "
"2557.828 ","-165.704 "
"2581.294 ","-165.931 "
"2604.760 ","-165.847 "
"2628.227 ","-165.739 "
"2651.693 ","-165.779 "
"2675.159 ","-165.904 "
"2698.625 ","-166.189 "
"2722.092 ","-166.460 "
"2745.558 ","-166.720 "
"2769.024 ","-166.982 "
"2792.491 ","-167.170 "
"2815.957 ","-167.182 "
"2839.423 ","-166.695 "
"2862.890 ","-165.758 "
"2886.356 ","-164.896 "
"2909.822 ","-164.557 "
"2933.289 ","-164.831 "
"2956.755 ","-165.168 "
"2980.221 ","-165.180 "
"3003.688 ","-165.143 "
"3027.154 ","-165.293 "
"3050.620 ","-165.716 "
"3074.086 ","-166.174 "
"3097.553 ","-166.274 "
"3121.019 ","-165.937 "
"3144.485 ","-165.400 "
"3167.952 ","-165.014 "
"3191.418 ","-164.927 "
"3214.884 ","-165.006 "
"3238.351 ","-165.034 "
"3261.817 ","-165.149 "
"3285.283 ","-165.385 "
"3308.750 ","-165.605 "
"3332.216 ","-165.776 "
"3355.682 ","-165.795 "
"3379.148 ","-165.815 "
"3402.615 ","-165.864 "
"3426.081 ","-165.944 "
"3449.547 ","-166.074 "
"3473.014 ","-166.124 "
"3496.480 ","-166.008 "
"3519.946 ","-165.857 "
"3543.413 ","-165.907 "
"3566.879 ","-166.106 "
"3590.345 ","-166.122 "
"3613.812 ","-165.888 "
