"X(um)","Z(um)"
"0.000 ",""
"23.466 ",""
"46.933 ",""
"70.399 ",""
"93.866 ",""
"117.332 ",""
"140.799 ",""
"164.265 ",""
"187.732 ",""
"211.198 ",""
"234.665 ",""
"258.131 ",""
"281.598 ",""
"305.064 ",""
"328.531 ",""
"351.997 ",""
"375.463 ",""
"398.930 ",""
"422.396 ",""
"445.863 ",""
"469.329 ",""
"492.796 ",""
"516.262 ",""
"539.729 ",""
"563.195 ",""
"586.662 ",""
"610.128 ",""
"633.595 ",""
"657.061 ",""
"680.528 ",""
"703.994 ",""
"727.460 ",""
"750.927 ",""
"774.393 ",""
"797.860 ",""
"821.326 ",""
"844.793 ",""
"868.259 ",""
"891.726 ",""
"915.192 ",""
"938.659 ",""
"962.125 ",""
"985.592 ",""
"1009.058 ",""
"1032.525 ",""
"1055.991 ",""
"1079.458 ",""
"1102.924 ",""
"1126.390 ",""
"1149.857 ",""
"1173.323 ",""
"1196.790 ",""
"1220.256 ",""
"1243.723 ",""
"1267.189 ",""
"1290.656 ",""
"1314.122 ",""
"1337.589 ",""
"1361.055 ",""
"1384.522 ",""
"1407.988 ",""
"1431.455 ",""
"1454.921 ",""
"1478.387 ",""
"1501.854 ",""
"1525.320 ",""
"1548.787 ",""
"1572.253 ",""
"1595.720 ",""
"1619.186 ",""
"1642.653 ",""
"1666.119 ",""
"1689.586 ",""
"1713.052 ",""
"1736.519 ",""
"1759.985 ",""
"1783.452 ",""
"1806.918 ",""
"1830.384 ",""
"1853.851 ",""
"1877.317 ",""
"1900.784 ",""
"1924.250 ",""
"1947.717 ",""
"1971.183 ",""
"1994.650 ",""
"2018.116 ",""
"2041.583 ",""
"2065.049 ",""
"2088.516 ",""
"2111.982 ",""
"2135.449 ",""
"2158.915 ",""
"2182.381 ",""
"2205.848 ",""
"2229.314 ",""
"2252.781 ",""
"2276.247 ",""
"2299.714 ",""
"2323.180 ",""
"2346.647 ",""
"2370.113 ",""
"2393.580 ",""
"2417.046 ",""
"2440.513 ",""
"2463.979 ",""
"2487.446 ",""
"2510.912 ",""
"2534.378 ",""
"2557.845 ",""
"2581.311 ",""
"2604.778 ",""
"2628.244 ",""
"2651.711 ",""
"2675.177 ",""
"2698.644 ",""
"2722.110 ",""
"2745.577 ",""
"2769.043 ",""
"2792.510 ",""
"2815.976 ",""
"2839.443 ",""
"2862.909 ",""
"2886.376 ",""
"2909.842 ",""
"2933.308 ",""
"2956.775 ",""
"2980.241 ",""
"3003.708 ",""
"3027.174 ",""
"3050.641 ",""
"3074.107 ",""
"3097.574 ",""
"3121.040 ",""
"3144.507 ",""
"3167.973 ",""
"3191.440 ",""
"3214.906 ",""
"3238.373 ",""
"3261.839 ",""
"3285.305 ",""
"3308.772 ",""
"3332.238 ",""
"3355.705 ",""
"3379.171 ",""
"3402.638 ",""
"3426.104 ",""
"3449.571 ",""
"3473.037 ",""
"3496.504 ",""
"3519.970 ",""
"3543.437 ",""
"3566.903 ",""
"3590.370 ",""
"3613.836 ",""
"3637.302 ",""
"3660.769 ",""
"3684.235 ",""
"3707.702 ",""
"3731.168 ",""
"3754.635 ",""
"3778.101 ",""
"3801.568 ",""
"3825.034 ",""
"3848.501 ",""
"3871.967 ",""
"3895.434 ",""
"3918.900 ",""
"3942.367 ",""
"3965.833 ",""
"3989.299 ",""
"4012.766 ",""
"4036.232 ",""
"4059.699 ",""
"4083.165 ",""
"4106.632 ",""
"4130.098 ",""
"4153.565 ",""
"4177.031 ",""
"4200.498 ",""
"4223.964 ",""
"4247.431 ",""
"4270.897 ",""
"4294.364 ",""
"4317.830 ",""
"4341.296 ",""
"4364.763 ",""
"4388.229 ",""
"4411.696 ",""
"4435.162 ",""
"4458.629 ",""
"4482.095 ",""
"4505.562 ",""
"4529.028 ",""
"4552.495 ",""
"4575.961 ",""
"4599.428 ",""
"4622.894 ",""
"4646.361 ",""
"4669.827 ",""
"4693.294 ",""
"4716.760 ",""
"4740.226 ",""
"4763.693 ",""
"4787.159 ",""
"4810.626 ",""
"4834.092 ",""
"4857.559 ",""
"4881.025 ",""
"4904.492 ",""
"4927.958 ",""
"4951.425 ",""
"4974.891 ",""
"4998.358 ",""
"5021.824 ",""
"5045.291 ",""
"5068.757 ",""
"5092.223 ","901.860 "
"5115.690 ","925.117 "
"5139.156 ","961.058 "
"5162.623 ","1000.972 "
"5186.089 ","1038.150 "
"5209.556 ","1070.554 "
"5233.022 ","1108.407 "
"5256.489 ","1140.946 "
"5279.955 ","1156.682 "
"5303.422 ","1163.927 "
"5326.888 ","1172.051 "
"5350.355 ","1187.958 "
"5373.821 ","1209.888 "
"5397.288 ","1235.159 "
"5420.754 ","1262.345 "
"5444.220 ","1290.906 "
"5467.687 ","1317.446 "
"5491.153 ","1341.931 "
"5514.620 ","1366.494 "
"5538.086 ","1391.651 "
"5561.553 ","1422.089 "
"5585.019 ","1461.658 "
"5608.486 ","1505.731 "
