"X(um)","Z(um)"
"0.000 ","10647.160 "
"23.470 ","10646.910 "
"46.939 ","10646.360 "
"70.409 ","10645.821 "
"93.878 ","10645.484 "
"117.348 ","10645.223 "
"140.818 ","10644.946 "
"164.287 ","10644.781 "
"187.757 ","10644.779 "
"211.227 ","10644.960 "
"234.696 ","10645.394 "
"258.166 ","10645.882 "
"281.635 ","10646.054 "
"305.105 ","10645.769 "
"328.575 ","10645.251 "
"352.044 ","10644.924 "
"375.514 ","10644.826 "
"398.983 ","10644.733 "
"422.453 ","10644.536 "
"445.923 ","10644.561 "
"469.392 ","10644.959 "
"492.862 ","10645.334 "
"516.331 ","10645.137 "
"539.801 ","10644.416 "
"563.271 ","10643.739 "
"586.740 ","10643.560 "
"610.210 ","10643.991 "
"633.680 ","10644.673 "
"657.149 ","10645.242 "
"680.619 ","10645.343 "
"704.088 ","10645.012 "
"727.558 ","10644.749 "
"751.028 ","10644.903 "
"774.497 ","10645.233 "
"797.967 ","10645.123 "
"821.436 ","10644.684 "
"844.906 ","10644.471 "
"868.376 ","10644.670 "
"891.845 ","10645.019 "
"915.315 ","10645.160 "
"938.784 ","10645.202 "
"962.254 ","10645.290 "
"985.724 ","10645.187 "
"1009.193 ","10644.740 "
"1032.663 ","10644.085 "
"1056.133 ","10643.340 "
"1079.602 ","10642.950 "
"1103.072 ","10643.203 "
"1126.541 ","10643.756 "
"1150.011 ","10643.960 "
"1173.481 ","10643.658 "
"1196.950 ","10643.358 "
"1220.420 ","10643.413 "
"1243.889 ","10643.670 "
"1267.359 ","10643.823 "
"1290.829 ","10643.660 "
"1314.298 ","10643.136 "
"1337.768 ","10642.412 "
"1361.237 ","10641.749 "
"1384.707 ","10641.550 "
"1408.177 ","10641.804 "
"1431.646 ","10642.409 "
"1455.116 ","10642.949 "
"1478.586 ","10643.358 "
"1502.055 ","10643.586 "
"1525.525 ","10643.664 "
"1548.994 ","10643.746 "
"1572.464 ","10643.818 "
"1595.934 ","10644.013 "
"1619.403 ","10644.359 "
"1642.873 ","10644.842 "
"1666.342 ","10645.029 "
"1689.812 ","10644.618 "
"1713.282 ","10643.621 "
"1736.751 ","10642.631 "
"1760.221 ","10642.188 "
"1783.690 ","10642.241 "
"1807.160 ","10642.489 "
"1830.630 ","10642.811 "
"1854.099 ","10643.135 "
"1877.569 ","10643.563 "
"1901.039 ","10644.046 "
"1924.508 ","10644.428 "
"1947.978 ","10644.633 "
"1971.447 ","10644.538 "
"1994.917 ","10644.343 "
"2018.387 ","10644.117 "
"2041.856 ","10643.939 "
"2065.326 ","10643.742 "
"2088.795 ","10643.495 "
"2112.265 ","10643.318 "
"2135.735 ","10643.109 "
"2159.204 ","10642.856 "
"2182.674 ","10642.760 "
"2206.143 ","10642.934 "
"2229.613 ","10643.171 "
"2253.083 ","10643.150 "
"2276.552 ","10642.982 "
"2300.022 ","10643.009 "
"2323.492 ","10643.349 "
"2346.961 ","10643.869 "
"2370.431 ","10644.230 "
"2393.900 ","10644.084 "
"2417.370 ","10643.447 "
"2440.840 ","10642.707 "
"2464.309 ","10642.113 "
"2487.779 ","10641.614 "
"2511.248 ","10641.159 "
"2534.718 ","10640.960 "
"2558.188 ","10641.165 "
"2581.657 ","10641.815 "
"2605.127 ","10642.608 "
"2628.596 ","10643.107 "
"2652.066 ","10643.214 "
"2675.536 ","10643.025 "
"2699.005 ","10642.695 "
"2722.475 ","10642.270 "
"2745.945 ","10641.936 "
"2769.414 ","10641.936 "
"2792.884 ","10642.234 "
"2816.353 ","10642.331 "
"2839.823 ","10641.926 "
"2863.293 ","10641.331 "
"2886.762 ","10641.123 "
"2910.232 ","10641.327 "
"2933.701 ","10641.496 "
"2957.171 ","10641.536 "
"2980.641 ","10641.626 "
"3004.110 ","10641.959 "
"3027.580 ","10642.325 "
"3051.049 ","10642.479 "
"3074.519 ","10642.399 "
"3097.989 ","10642.260 "
"3121.458 ","10642.197 "
"3144.928 ","10642.200 "
"3168.398 ","10642.096 "
"3191.867 ","10641.736 "
"3215.337 ","10641.332 "
"3238.806 ","10641.212 "
"3262.276 ","10641.393 "
"3285.746 ","10641.618 "
"3309.215 ","10641.782 "
"3332.685 ","10641.967 "
"3356.154 ","10642.083 "
"3379.624 ","10641.728 "
"3403.094 ","10641.004 "
"3426.563 ","10640.414 "
"3450.033 ","10640.410 "
"3473.502 ","10640.811 "
"3496.972 ","10641.148 "
"3520.442 ","10641.252 "
"3543.911 ","10641.292 "
"3567.381 ","10641.396 "
"3590.851 ","10641.486 "
"3614.320 ","10641.471 "
"3637.790 ","10641.281 "
"3661.259 ","10640.938 "
"3684.729 ","10640.462 "
"3708.199 ","10640.088 "
"3731.668 ","10640.086 "
"3755.138 ","10640.803 "
"3778.607 ","10642.015 "
"3802.077 ","10643.001 "
"3825.547 ","10643.153 "
"3849.016 ","10642.502 "
"3872.486 ","10641.554 "
"3895.955 ","10640.857 "
"3919.425 ","10640.659 "
"3942.895 ","10640.761 "
"3966.364 ","10640.916 "
"3989.834 ","10641.229 "
"4013.304 ","10641.795 "
"4036.773 ","10642.305 "
"4060.243 ","10642.404 "
"4083.712 ","10641.945 "
"4107.182 ","10641.236 "
"4130.652 ","10640.732 "
"4154.121 ","10640.627 "
"4177.591 ","10640.769 "
"4201.060 ","10640.960 "
"4224.530 ","10641.210 "
"4248.000 ","10641.448 "
"4271.469 ","10641.472 "
"4294.939 ","10641.330 "
"4318.408 ","10641.196 "
"4341.878 ","10641.205 "
"4365.348 ","10641.146 "
"4388.817 ","10640.893 "
"4412.287 ","10640.628 "
"4435.757 ","10640.592 "
"4459.226 ","10640.894 "
"4482.696 ","10641.279 "
"4506.165 ","10641.442 "
"4529.635 ","10641.345 "
"4553.105 ","10641.205 "
"4576.574 ","10641.204 "
"4600.044 ","10641.283 "
"4623.513 ","10641.285 "
"4646.983 ","10641.210 "
"4670.453 ","10641.160 "
"4693.922 ","10641.210 "
"4717.392 ","10641.281 "
"4740.861 ","10641.181 "
"4764.331 ","10640.790 "
"4787.801 ","10640.222 "
"4811.270 ","10639.824 "
"4834.740 ","10639.743 "
"4858.210 ","10639.760 "
"4881.679 ","10639.510 "
"4905.149 ","10638.960 "
"4928.618 ","10638.432 "
"4952.088 ","10638.182 "
"4975.558 ","10638.113 "
"4999.027 ","10638.020 "
"5022.497 ","10638.027 "
"5045.966 ","10638.253 "
"5069.436 ","10638.734 "
"5092.906 ","10639.144 "
"5116.375 ","10639.346 "
"5139.845 ","10639.498 "
"5163.314 ","10639.894 "
"5186.784 ","10640.383 "
"5210.254 ","10640.634 "
"5233.723 ","10640.743 "
"5257.193 ","10640.850 "
"5280.663 ","10640.856 "
"5304.132 ","10640.459 "
"5327.602 ","10639.814 "
"5351.071 ","10639.217 "
"5374.541 ","10638.967 "
"5398.011 ","10639.113 "
"5421.480 ","10639.456 "
"5444.950 ","10639.791 "
"5468.419 ","10640.109 "
"5491.889 ","10640.226 "
"5515.359 ","10639.879 "
"5538.828 ","10639.135 "
"5562.298 ","10638.405 "
"5585.767 ","10638.049 "
"5609.237 ","10638.178 "
"5632.707 ","10638.622 "
"5656.176 ","10638.984 "
"5679.646 ","10639.016 "
"5703.116 ","10638.860 "
"5726.585 ","10638.820 "
"5750.055 ","10638.984 "
"5773.524 ","10639.127 "
"5796.994 ","10638.905 "
"5820.464 ","10638.355 "
"5843.933 ","10637.760 "
"5867.403 ","10637.490 "
"5890.872 ","10637.669 "
"5914.342 ","10638.136 "
"5937.812 ","10638.648 "
"5961.281 ","10638.964 "
"5984.751 ","10639.153 "
"6008.220 ","10639.511 "
"6031.690 ","10640.064 "
"6055.160 ","10640.237 "
"6078.629 ","10639.655 "
"6102.099 ","10638.853 "
"6125.569 ","10638.551 "
"6149.038 ","10638.669 "
"6172.508 ","10638.705 "
"6195.977 ","10638.519 "
"6219.447 ","10638.262 "
"6242.917 ","10638.077 "
"6266.386 ","10637.948 "
