"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","680.129 ","3952.529 ","0.450 ","7.935 ","0.0962455 "
"Min.","680.129 ","3952.529 ","0.450 ","7.935 ","0.0962455 "
"Ave.","680.129 ","3952.529 ","0.450 ","7.935 ","0.0962455 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","680.129 ","3952.529 ","0.450 ","7.935 ","0.0962455 "
