"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","682.282 ","4019.680 ","0.450 ","2.659 ","0.1035964 "
"Min.","682.282 ","4019.680 ","0.450 ","2.659 ","0.1035964 "
"Ave.","682.282 ","4019.680 ","0.450 ","2.659 ","0.1035964 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","682.282 ","4019.680 ","0.450 ","2.659 ","0.1035964 "
