"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","669.619 ","3908.420 ","0.436 ","2.167 ","0.0914658 "
"Min.","669.619 ","3908.420 ","0.436 ","2.167 ","0.0914658 "
"Ave.","669.619 ","3908.420 ","0.436 ","2.167 ","0.0914658 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","669.619 ","3908.420 ","0.436 ","2.167 ","0.0914658 "
