"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","657.825 ","3937.569 ","0.448 ","1.780 ","0.1007254 "
"Min.","657.825 ","3937.569 ","0.448 ","1.780 ","0.1007254 "
"Ave.","657.825 ","3937.569 ","0.448 ","1.780 ","0.1007254 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","657.825 ","3937.569 ","0.448 ","1.780 ","0.1007254 "
