"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","772.254 ","4332.020 ","0.424 ","4.668 ","0.2681304 "
"Min.","772.254 ","4332.020 ","0.424 ","4.668 ","0.2681304 "
"Ave.","772.254 ","4332.020 ","0.424 ","4.668 ","0.2681304 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","772.254 ","4332.020 ","0.424 ","4.668 ","0.2681304 "
