"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","673.734 ","3924.850 ","0.449 ","1.265 ","0.1051610 "
"Min.","673.734 ","3924.850 ","0.449 ","1.265 ","0.1051610 "
"Ave.","673.734 ","3924.850 ","0.449 ","1.265 ","0.1051610 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","673.734 ","3924.850 ","0.449 ","1.265 ","0.1051610 "
