"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","678.734 ","4045.451 ","0.452 ","1.762 ","0.1148729 "
"Min.","678.734 ","4045.451 ","0.452 ","1.762 ","0.1148729 "
"Ave.","678.734 ","4045.451 ","0.452 ","1.762 ","0.1148729 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","678.734 ","4045.451 ","0.452 ","1.762 ","0.1148729 "
