"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","652.677 ","3855.240 ","0.453 ","6.405 ","0.1093041 "
"Min.","652.677 ","3855.240 ","0.453 ","6.405 ","0.1093041 "
"Ave.","652.677 ","3855.240 ","0.453 ","6.405 ","0.1093041 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","652.677 ","3855.240 ","0.453 ","6.405 ","0.1093041 "
