"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","869.963 ","5073.932 ","0.422 ","1.911 ","0.1391953 "
"Min.","869.963 ","5073.932 ","0.422 ","1.911 ","0.1391953 "
"Ave.","869.963 ","5073.932 ","0.422 ","1.911 ","0.1391953 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","869.963 ","5073.932 ","0.422 ","1.911 ","0.1391953 "
