"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","695.279 ","4009.470 ","0.448 ","1.746 ","0.1132582 "
"Min.","695.279 ","4009.470 ","0.448 ","1.746 ","0.1132582 "
"Ave.","695.279 ","4009.470 ","0.448 ","1.746 ","0.1132582 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","695.279 ","4009.470 ","0.448 ","1.746 ","0.1132582 "
