"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","737.413 ","4313.780 ","0.434 ","6.277 ","0.1038069 "
"Min.","737.413 ","4313.780 ","0.434 ","6.277 ","0.1038069 "
"Ave.","737.413 ","4313.780 ","0.434 ","6.277 ","0.1038069 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","737.413 ","4313.780 ","0.434 ","6.277 ","0.1038069 "
