"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","648.954 ","3795.970 ","0.445 ","2.964 ","0.1288061 "
"Min.","648.954 ","3795.970 ","0.445 ","2.964 ","0.1288061 "
"Ave.","648.954 ","3795.970 ","0.445 ","2.964 ","0.1288061 "
"Std. DV","0.000 ","0.000 ","0.000 ","0.000 ","0.0000000 "
"","","","","",""
"Area1","648.954 ","3795.970 ","0.445 ","2.964 ","0.1288061 "
