"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4629.173 ","20771.991 ","","111.746 ","1.073420 "
"Min.","4629.173 ","20771.991 ","","111.746 ","1.073420 "
"Ave.","4629.173 ","20771.991 ","","111.746 ","1.073420 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4629.173 ","20771.991 ","","111.746 ","1.073420 "
