"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4737.594 ","20670.492 ","","332.106 ","2.075786 "
"Min.","4737.594 ","20670.492 ","","332.106 ","2.075786 "
"Ave.","4737.594 ","20670.492 ","","332.106 ","2.075786 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4737.594 ","20670.492 ","","332.106 ","2.075786 "
