"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","5076.515 ","20276.191 ","","58.547 ","0.8853419 "
"Min.","5076.515 ","20276.191 ","","58.547 ","0.8853419 "
"Ave.","5076.515 ","20276.191 ","","58.547 ","0.8853419 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","5076.515 ","20276.191 ","","58.547 ","0.8853419 "
