"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4758.222 ","20571.008 ","","70.778 ","1.013034 "
"Min.","4758.222 ","20571.008 ","","70.778 ","1.013034 "
"Ave.","4758.222 ","20571.008 ","","70.778 ","1.013034 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4758.222 ","20571.008 ","","70.778 ","1.013034 "
