"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4688.557 ","20203.158 ","","108.446 ","1.556106 "
"Min.","4688.557 ","20203.158 ","","108.446 ","1.556106 "
"Ave.","4688.557 ","20203.158 ","","108.446 ","1.556106 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4688.557 ","20203.158 ","","108.446 ","1.556106 "
