"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","5025.017 ","20692.030 ","","93.890 ","0.9279055 "
"Min.","5025.017 ","20692.030 ","","93.890 ","0.9279055 "
"Ave.","5025.017 ","20692.030 ","","93.890 ","0.9279055 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","5025.017 ","20692.030 ","","93.890 ","0.9279055 "
