"","PC1","PC2","PC3","PC4"
"1",-209.658103236892,274.282844426282,143.627437195579,-177.372429984623
"2",-290.967834552501,166.143548757963,128.357826576542,-12.829131418981
"3",290.033601807152,-57.9793830447465,-63.298940268087,-49.8869278068524
"4",213.586005036583,-24.3086400785938,-8.62933196461865,220.855288872225
"5",41.9584381219649,294.515412383917,-50.2092213492538,158.541813262914
"6",113.95488869641,-200.633625959783,247.886874806463,-209.59607558613
"7",60.5580916924541,-63.6294327790475,-18.0852631448078,-196.294835490334
"8",-261.081271359716,-44.2468905440069,-149.360670165389,-73.0696474415114
"9",-71.1715019126521,-62.4586979459622,233.353426032066,168.49318772584
"10",367.034232370548,17.6423984914044,19.7800310737139,-19.2583326243474
"11",275.16311995479,260.238143413914,80.687938692989,147.006640478719
"12",-300.720068923948,-162.421456780469,-39.9756861856072,118.62018174277
"13",99.5426172419937,-220.458556265175,145.700794131607,-82.4905466906843
"14",62.4851432303544,172.900078425268,-317.217040790686,-2.00495155100526
"15",-62.0138843125314,-311.793737300759,-163.197241846615,-13.323651689044
"16",-84.4699207322692,-300.223185237063,-211.059642502142,-12.8096922503616
"17",-339.125667658872,116.236037872683,-83.6315650328799,41.7719359600127
"18",319.754591013957,73.9794929116825,-98.9739303170061,-80.3296519678399
"19",-94.6289868845097,-255.438157882476,168.519260996642,185.781105945294
"20",-130.233489592316,327.653807134963,35.7249440614934,-111.804279486056
