"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3943.471 ","18059.991 ","","35.505 ","0.6614811 "
"Min.","3943.471 ","18059.991 ","","35.505 ","0.6614811 "
"Ave.","3943.471 ","18059.991 ","","35.505 ","0.6614811 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3943.471 ","18059.991 ","","35.505 ","0.6614811 "
