"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3836.447 ","19180.300 ","","62.072 ","0.9614394 "
"Min.","3836.447 ","19180.300 ","","62.072 ","0.9614394 "
"Ave.","3836.447 ","19180.300 ","","62.072 ","0.9614394 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3836.447 ","19180.300 ","","62.072 ","0.9614394 "
