"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3932.824 ","18636.920 ","","47.081 ","0.6544219 "
"Min.","3932.824 ","18636.920 ","","47.081 ","0.6544219 "
"Ave.","3932.824 ","18636.920 ","","47.081 ","0.6544219 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3932.824 ","18636.920 ","","47.081 ","0.6544219 "
