"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3970.636 ","17977.610 ","","110.839 ","0.8044411 "
"Min.","3970.636 ","17977.610 ","","110.839 ","0.8044411 "
"Ave.","3970.636 ","17977.610 ","","110.839 ","0.8044411 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3970.636 ","17977.610 ","","110.839 ","0.8044411 "
