"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4073.716 ","18457.141 ","","104.735 ","0.7169279 "
"Min.","4073.716 ","18457.141 ","","104.735 ","0.7169279 "
"Ave.","4073.716 ","18457.141 ","","104.735 ","0.7169279 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4073.716 ","18457.141 ","","104.735 ","0.7169279 "
