"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4036.202 ","18099.971 ","","108.148 ","0.8240006 "
"Min.","4036.202 ","18099.971 ","","108.148 ","0.8240006 "
"Ave.","4036.202 ","18099.971 ","","108.148 ","0.8240006 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4036.202 ","18099.971 ","","108.148 ","0.8240006 "
