"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3898.777 ","18097.110 ","","144.584 ","1.219491 "
"Min.","3898.777 ","18097.110 ","","144.584 ","1.219491 "
"Ave.","3898.777 ","18097.110 ","","144.584 ","1.219491 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3898.777 ","18097.110 ","","144.584 ","1.219491 "
