"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3995.540 ","19281.210 ","","99.956 ","0.8489618 "
"Min.","3995.540 ","19281.210 ","","99.956 ","0.8489618 "
"Ave.","3995.540 ","19281.210 ","","99.956 ","0.8489618 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3995.540 ","19281.210 ","","99.956 ","0.8489618 "
