"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4007.328 ","18617.138 ","","90.430 ","0.7238187 "
"Min.","4007.328 ","18617.138 ","","90.430 ","0.7238187 "
"Ave.","4007.328 ","18617.138 ","","90.430 ","0.7238187 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4007.328 ","18617.138 ","","90.430 ","0.7238187 "
