"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3894.971 ","18222.680 ","","102.931 ","0.7806961 "
"Min.","3894.971 ","18222.680 ","","102.931 ","0.7806961 "
"Ave.","3894.971 ","18222.680 ","","102.931 ","0.7806961 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3894.971 ","18222.680 ","","102.931 ","0.7806961 "
