"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","3980.476 ","17558.608 ","","97.443 ","0.7184409 "
"Min.","3980.476 ","17558.608 ","","97.443 ","0.7184409 "
"Ave.","3980.476 ","17558.608 ","","97.443 ","0.7184409 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","3980.476 ","17558.608 ","","97.443 ","0.7184409 "
