"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","4079.867 ","18304.091 ","","105.082 ","0.9135839 "
"Min.","4079.867 ","18304.091 ","","105.082 ","0.9135839 "
"Ave.","4079.867 ","18304.091 ","","105.082 ","0.9135839 "
"Std. DV","0.000 ","0.000 ","","0.000 ","0.0000000 "
"","","","","",""
"Area1","4079.867 ","18304.091 ","","105.082 ","0.9135839 "
