"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2088.467 ","10913.590 ","0.421 ","106.095 ","0.5391703 "
"Min.","1633.448 ","9540.540 ","0.328 ","95.907 ","0.4036261 "
"Ave.","1860.958 ","10227.065 ","0.374 ","101.001 ","0.4713982 "
"Std. DV","227.509 ","686.525 ","0.047 ","5.094 ","0.0677721 "
"","","","","",""
"Area1","1633.448 ","9540.540 ","0.421 ","106.095 ","0.4036261 "
"Area2","2088.467 ","10913.590 ","0.328 ","95.907 ","0.5391703 "
