"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2137.776 ","11220.610 ","0.426 ","51.101 ","0.8598251 "
"Min.","1615.396 ","9753.600 ","0.348 ","14.437 ","0.4915557 "
"Ave.","1876.586 ","10487.105 ","0.387 ","32.769 ","0.6756904 "
"Std. DV","261.190 ","733.505 ","0.039 ","18.332 ","0.1841347 "
"","","","","",""
"Area1","1615.396 ","9753.600 ","0.426 ","51.101 ","0.4915557 "
"Area2","2137.776 ","11220.610 ","0.348 ","14.437 ","0.8598251 "
