"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2250.456 ","10721.330 ","0.372 ","107.965 ","0.7381321 "
"Min.","1668.741 ","8691.480 ","0.310 ","59.907 ","0.4883737 "
"Ave.","1959.599 ","9706.405 ","0.341 ","83.936 ","0.6132529 "
"Std. DV","290.857 ","1014.925 ","0.031 ","24.029 ","0.1248792 "
"","","","","",""
"Area1","1668.741 ","8691.480 ","0.372 ","59.907 ","0.4883737 "
"Area2","2250.456 ","10721.330 ","0.310 ","107.965 ","0.7381321 "
