"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2022.638 ","10628.721 ","0.423 ","86.869 ","0.5245057 "
"Min.","1625.488 ","9678.919 ","0.344 ","55.310 ","0.4182718 "
"Ave.","1824.063 ","10153.820 ","0.383 ","71.090 ","0.4713888 "
"Std. DV","198.575 ","474.901 ","0.040 ","15.780 ","0.0531169 "
"","","","","",""
"Area1","1625.488 ","9678.919 ","0.423 ","86.869 ","0.4182718 "
"Area2","2022.638 ","10628.721 ","0.344 ","55.310 ","0.5245057 "
