"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","1979.421 ","9491.650 ","0.380 ","58.819 ","0.4983066 "
"Min.","1685.418 ","9124.180 ","0.313 ","2.056 ","0.3947248 "
"Ave.","1832.419 ","9307.915 ","0.347 ","30.437 ","0.4465157 "
"Std. DV","147.001 ","183.735 ","0.034 ","28.381 ","0.0517909 "
"","","","","",""
"Area1","1685.418 ","9491.650 ","0.380 ","2.056 ","0.3947248 "
"Area2","1979.421 ","9124.180 ","0.313 ","58.819 ","0.4983066 "
