"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2015.318 ","10518.410 ","0.418 ","205.672 ","0.5571602 "
"Min.","1628.252 ","9587.031 ","0.336 ","96.983 ","0.4091015 "
"Ave.","1821.785 ","10052.721 ","0.377 ","151.328 ","0.4831309 "
"Std. DV","193.533 ","465.690 ","0.041 ","54.345 ","0.0740293 "
"","","","","",""
"Area1","1628.252 ","9587.031 ","0.418 ","205.672 ","0.4091015 "
"Area2","2015.318 ","10518.410 ","0.336 ","96.983 ","0.5571602 "
