"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2085.565 ","9575.870 ","0.405 ","165.569 ","0.9559151 "
"Min.","1673.675 ","9526.310 ","0.343 ","46.262 ","0.4272063 "
"Ave.","1879.620 ","9551.090 ","0.374 ","105.915 ","0.6915607 "
"Std. DV","205.945 ","24.780 ","0.031 ","59.653 ","0.2643544 "
"","","","","",""
"Area1","1673.675 ","9526.310 ","0.405 ","46.262 ","0.4272063 "
"Area2","2085.565 ","9575.870 ","0.343 ","165.569 ","0.9559151 "
