"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","1879.985 ","10364.999 ","0.436 ","42.873 ","0.7829544 "
"Min.","1533.503 ","9305.789 ","0.346 ","7.129 ","0.4254361 "
"Ave.","1706.744 ","9835.394 ","0.391 ","25.001 ","0.6041953 "
"Std. DV","173.241 ","529.605 ","0.045 ","17.872 ","0.1787591 "
"","","","","",""
"Area1","1533.503 ","9305.789 ","0.436 ","7.129 ","0.4254361 "
"Area2","1879.985 ","10364.999 ","0.346 ","42.873 ","0.7829544 "
