"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","1688.972 ","8620.500 ","0.405 ","62.794 ","0.6472045 "
"Min.","1484.738 ","8548.691 ","0.333 ","21.519 ","0.3828527 "
"Ave.","1586.855 ","8584.595 ","0.369 ","42.156 ","0.5150286 "
"Std. DV","102.117 ","35.904 ","0.036 ","20.638 ","0.1321759 "
"","","","","",""
"Area1","1484.738 ","8620.500 ","0.405 ","62.794 ","0.3828527 "
"Area2","1688.972 ","8548.691 ","0.333 ","21.519 ","0.6472045 "
