"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2040.741 ","10653.680 ","0.398 ","77.725 ","0.5307424 "
"Min.","1580.331 ","8052.950 ","0.332 ","21.903 ","0.4553492 "
"Ave.","1810.536 ","9353.315 ","0.365 ","49.814 ","0.4930458 "
"Std. DV","230.205 ","1300.365 ","0.033 ","27.911 ","0.0376966 "
"","","","","",""
"Area1","1580.331 ","8052.950 ","0.398 ","77.725 ","0.4553492 "
"Area2","2040.741 ","10653.680 ","0.332 ","21.903 ","0.5307424 "
