"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2174.746 ","9910.719 ","0.370 ","33.845 ","0.5204790 "
"Min.","1692.109 ","9396.289 ","0.306 ","24.288 ","0.3816881 "
"Ave.","1933.427 ","9653.504 ","0.338 ","29.067 ","0.4510836 "
"Std. DV","241.319 ","257.215 ","0.032 ","4.778 ","0.0693954 "
"","","","","",""
"Area1","1692.109 ","9396.289 ","0.370 ","24.288 ","0.3816881 "
"Area2","2174.746 ","9910.719 ","0.306 ","33.845 ","0.5204790 "
