"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2123.189 ","10184.210 ","0.414 ","166.528 ","0.5650802 "
"Min.","1704.208 ","10177.101 ","0.327 ","102.950 ","0.4409339 "
"Ave.","1913.698 ","10180.655 ","0.370 ","134.739 ","0.5030071 "
"Std. DV","209.491 ","3.554 ","0.044 ","31.789 ","0.0620732 "
"","","","","",""
"Area1","1704.208 ","10184.210 ","0.414 ","166.528 ","0.4409339 "
"Area2","2123.189 ","10177.101 ","0.327 ","102.950 ","0.5650802 "
