"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2112.491 ","10862.680 ","0.421 ","74.832 ","0.6961969 "
"Min.","1646.517 ","9650.780 ","0.335 ","4.895 ","0.4500282 "
"Ave.","1879.504 ","10256.730 ","0.378 ","39.863 ","0.5731125 "
"Std. DV","232.987 ","605.950 ","0.043 ","34.969 ","0.1230843 "
"","","","","",""
"Area1","1646.517 ","9650.780 ","0.421 ","4.895 ","0.4500282 "
"Area2","2112.491 ","10862.680 ","0.335 ","74.832 ","0.6961969 "
