"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","1578.797 ","8447.671 ","0.401 ","71.648 ","0.4524333 "
"Min.","1461.674 ","8123.030 ","0.335 ","48.877 ","0.4340674 "
"Ave.","1520.236 ","8285.351 ","0.368 ","60.263 ","0.4432504 "
"Std. DV","58.561 ","162.321 ","0.033 ","11.385 ","0.0091830 "
"","","","","",""
"Area2","1578.797 ","8123.030 ","0.335 ","48.877 ","0.4340674 "
"Area1","1461.674 ","8447.671 ","0.401 ","71.648 ","0.4524333 "
