"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2115.768 ","10831.250 ","0.414 ","81.759 ","0.5352053 "
"Min.","1648.969 ","9764.410 ","0.331 ","81.759 ","0.3915551 "
"Ave.","1882.368 ","10297.830 ","0.372 ","81.759 ","0.4633802 "
"Std. DV","233.399 ","533.420 ","0.042 ","0.000 ","0.0718251 "
"","","","","",""
"Area1","1648.969 ","9764.410 ","0.414 ","81.759 ","0.3915551 "
"Area2","2115.768 ","10831.250 ","0.331 ","","0.5352053 "
