"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2094.242 ","10009.291 ","0.412 ","91.244 ","0.5356108 "
"Min.","1696.987 ","9605.920 ","0.332 ","91.244 ","0.4063671 "
"Ave.","1895.615 ","9807.605 ","0.372 ","91.244 ","0.4709889 "
"Std. DV","198.627 ","201.685 ","0.040 ","0.000 ","0.0646218 "
"","","","","",""
"Area1","1696.987 ","10009.291 ","0.412 ","","0.4063671 "
"Area2","2094.242 ","9605.920 ","0.332 ","91.244 ","0.5356108 "
