"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","1982.821 ","9882.470 ","0.396 ","69.687 ","0.6324855 "
"Min.","1675.356 ","8620.930 ","0.321 ","20.041 ","0.4361629 "
"Ave.","1829.088 ","9251.700 ","0.359 ","44.864 ","0.5343242 "
"Std. DV","153.733 ","630.770 ","0.037 ","24.823 ","0.0981613 "
"","","","","",""
"Area1","1675.356 ","9882.470 ","0.396 ","20.041 ","0.4361629 "
"Area2","1982.821 ","8620.930 ","0.321 ","69.687 ","0.6324855 "
