"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2083.664 ","10974.471 ","0.425 ","78.795 ","0.5414635 "
"Min.","1614.462 ","7871.491 ","0.339 ","69.302 ","0.3772624 "
"Ave.","1849.063 ","9422.981 ","0.382 ","74.049 ","0.4593630 "
"Std. DV","234.601 ","1551.490 ","0.043 ","4.746 ","0.0821005 "
"","","","","",""
"Area1","1614.462 ","7871.491 ","0.425 ","69.302 ","0.3772624 "
"Area2","2083.664 ","10974.471 ","0.339 ","78.795 ","0.5414635 "
