"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","2031.598 ","11096.500 ","0.437 ","25.593 ","1.231145 "
"Min.","1606.812 ","9826.750 ","0.354 ","9.216 ","0.6240868 "
"Ave.","1819.205 ","10461.625 ","0.396 ","17.405 ","0.9276161 "
"Std. DV","212.393 ","634.875 ","0.041 ","8.189 ","0.3035293 "
"","","","","",""
"Area1","1606.812 ","9826.750 ","0.437 ","9.216 ","0.6240868 "
"Area2","2031.598 ","11096.500 ","0.354 ","25.593 ","1.231145 "
