"","Sa","Sz","Str","Spc","Sdr"
"","um","um","","1/mm",""
"Max.","1527.192 ","8891.500 ","0.415 ","76.460 ","0.5069158 "
"Min.","1502.551 ","7752.760 ","0.342 ","27.220 ","0.3576480 "
"Ave.","1514.872 ","8322.130 ","0.379 ","51.840 ","0.4322819 "
"Std. DV","12.321 ","569.370 ","0.037 ","24.620 ","0.0746339 "
"","","","","",""
"Area1","1527.192 ","8891.500 ","0.415 ","76.460 ","0.5069158 "
"Area2","1502.551 ","7752.760 ","0.342 ","27.220 ","0.3576480 "
